Position,Const,Created,Modified,Description,Name,Known For,Birth Date
454,nm13592008,2023-06-25,2023-06-25,,"Frankie Corio","Aftersun","7 de julio de 2010"
455,nm0376602,2023-06-26,2023-06-26,,"Shirley Henderson","Star Wars: Episode IX - The Rise of Skywalker","24 de noviembre de 1965"
456,nm10563281,2023-06-27,2023-06-27,,"Aria Bedmar","Hermana Muerte","1 de diciembre de 1994"
457,nm0382920,2023-07-07,2023-07-07,,"Michele Hicks","Mr. Robot","4 de junio de 1973"
458,nm14341886,2023-07-09,2023-07-09,,"Ada Mar",,
459,nm0273312,2023-07-09,2023-07-09,,"Marta Fernández Muro","Laberinto de pasiones","12 de febrero de 1950"
460,nm1005787,2023-07-09,2023-07-09,,"Natalie Pinot","Ni una más",
461,nm11306934,2023-07-16,2023-07-16,,"Lydia Page","Blue Jean","29 de mayo de 2002"
462,nm2259018,2023-07-16,2023-07-16,,"Kerrie Hayes","Blue Jean","1986"
463,nm0928244,2023-07-18,2023-07-18,,"Lisa Wilcox","A Nightmare on Elm Street 4: The Dream Master","27 de abril"
464,nm0005571,2023-07-31,2023-07-31,,"Lisa Zane","Freddy's Dead: The Final Nightmare","5 de abril"
465,nm6341515,2023-08-02,2023-08-02,,"Hari Nef","Barbie","21 de octubre de 1992"
466,nm0000324,2023-08-10,2023-08-10,,"Barbara Carrera","Never Say Never Again","31 de diciembre de 1945"
467,nm4258351,2023-08-21,2023-08-21,,"Irantzu Zugarrondo","El reino",
468,nm14296240,2023-09-02,2023-09-02,,"Sara Espías","Dos dies i l'eternitat",
469,nm2863907,2023-09-11,2023-09-11,,"Andrea Duro","Tres metros sobre el cielo","14 de octubre de 1991"
470,nm7090381,2023-09-17,2023-09-17,,"Jasmine Lemée","Mon cirque à moi",
471,nm4836100,2023-09-20,2023-09-20,,"Nell Tiger Free","The First Omen","13 de octubre de 1999"
472,nm0004193,2023-10-06,2023-10-06,,"Debbie Rochon","Flesh of the Unforgiven","3 de noviembre de 1968"
473,nm11326276,2023-10-06,2023-10-06,,"Gabrielle Echols","Evil Dead Rise",
474,nm0410622,2023-10-13,2023-10-13,,"Katharine Isabelle","Ginger Snaps","2 de noviembre de 1981"
475,nm0444621,2023-10-13,2023-10-13,,"Monica Keena","While You Were Sleeping","28 de mayo de 1979"
476,nm0424848,2023-10-15,2023-10-15,,"Dakota Johnson","Fifty Shades of Grey","4 de octubre de 1989"
477,nm0803938,2023-10-16,2023-10-16,,"Brigitte Skay","Die Tote aus der Themse","18 de julio de 1940"
478,nm7567645,2023-10-21,2023-10-21,,"Sarah Sherman","Three Busy Debras","7 de marzo de 1993"
479,nm11109114,2023-10-21,2023-10-21,,"Chloe Troast","Please Don't Destroy: The Treasure of Foggy Mountain","14 de mayo de 1997"
